"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39862","Check Box Selection - VEU","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:24 UTC 2025","","checkBoxSelection.test.ts","",""
"","26781","Web Table Search and Add User","","Thu Aug 07 10:50:22 UTC 2025","passed","Thu Aug 07 10:50:49 UTC 2025","","webTables.test.ts","",""
"","35439","Radio Button Selection - Yes","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:20 UTC 2025","","radioButtonSelection.test.ts","",""
"","36991","Handle simple alert popup","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:21 UTC 2025","","alerts.spec.ts","",""
"","25149","Text Box Form Submission","","Thu Aug 07 10:50:22 UTC 2025","passed","Thu Aug 07 10:50:47 UTC 2025","","textBoxForm.test.ts","",""
"","41225","Check valid and broken images","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:25 UTC 2025","","broken-links-image.spec.ts","",""
"","37436","Practice Form submission","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:22 UTC 2025","","practiceForm.spec.ts","",""
"","37455","Date Picker selection","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:22 UTC 2025","","datePicker.test.ts","",""
"","40314","Open new tab, window, and message window","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:24 UTC 2025","","browserWindows.spec.ts","",""
"","39683","Validate Accordian Tabs and Content Visibility","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:24 UTC 2025","","accordian.spec.ts","",""
"","28161","Slider value selection and verification","","Thu Aug 07 10:50:20 UTC 2025","passed","Thu Aug 07 10:50:48 UTC 2025","","slider.test.ts","",""
"","38440","Start and stop the Progress Bar after 3 seconds","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:23 UTC 2025","","progressBar.test.ts","",""
"","40580","Links Navigation - Simple & Dynamic Link","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:25 UTC 2025","","linksNavigation.test.ts","",""
"","37322","Button Actions: Click, Right Click, Double Click","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:21 UTC 2025","","buttonActions.test.ts","",""
"","25397","Tabs content visibility test","","Thu Aug 07 10:50:20 UTC 2025","passed","Thu Aug 07 10:50:46 UTC 2025","","tabs.test.ts","",""
"","35579","Validate Auto Complete with multiple and single color input","","Thu Aug 07 10:49:44 UTC 2025","passed","Thu Aug 07 10:50:20 UTC 2025","","autoComplete.spec.ts","",""
"","26938","Test Case 7: Upload and download functionality","","Thu Aug 07 10:50:22 UTC 2025","passed","Thu Aug 07 10:50:49 UTC 2025","","uploadDownload.spec.ts","",""
